Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",87.091000,-91.059000,-90.000000,top
"C2","0.1uF","C_0603_1608Metric",72.740000,-89.916000,180.000000,top
"C3","0.1uF","C_0603_1608Metric",82.900000,-88.011000,0.000000,top
"C4","0.1uF","C_0603_1608Metric",87.091000,-94.996000,-90.000000,top
"C5","0.1uF","C_0603_1608Metric",72.740000,-92.456000,180.000000,top
"IC1","MAX3243CDBR","SSOP-28_L10.2-W5.3-P0.65-LS7.8-BL",79.979000,-94.107000,-90.000000,top
"J1","DE9 Female","DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm",54.656000,-97.053000,-90.000000,top
"J2","spare IO","PinHeader_1x02_P2.54mm_Vertical",123.825000,-83.058000,0.000000,top
"J3","Conn_01x02_Socket","PinHeader_1x02_P2.54mm_Vertical",60.436000,-76.500000,0.000000,top
"J4","2016WVS-02P","CONN-SMD_P2.00_X2016WVS-02-9TSW",66.659000,-78.890000,180.000000,top
"R1","10k","R_0603_1608Metric",89.488400,-80.595500,0.000000,top
"R2","10k","R_0603_1608Metric",99.206400,-80.595500,0.000000,top
"R3","10k","R_0603_1608Metric",109.209400,-80.595500,0.000000,top
"R4","10k","R_0603_1608Metric",119.043400,-80.595500,180.000000,top
"R5","10k","R_0603_1608Metric",58.948000,-99.351000,-90.000000,top
"R6","10k","R_0603_1608Metric",61.488000,-99.351000,-90.000000,top
"R7","10k","R_0603_1608Metric",64.028000,-99.351000,-90.000000,top
"R8","10k","R_0603_1608Metric",66.822000,-99.351000,-90.000000,top
"R9","10k","R_0603_1608Metric",69.362000,-99.351000,-90.000000,top
"SW1","SW_Push","SW_Tactile_SPST_Angled_PTS645Vx58-2LFS",86.598000,-76.069500,0.000000,top
"SW2","SW_Push","SW_Tactile_SPST_Angled_PTS645Vx58-2LFS",96.504000,-76.069500,0.000000,top
"SW3","SW_Push","SW_Tactile_SPST_Angled_PTS645Vx58-2LFS",106.410000,-76.069500,0.000000,top
"SW4","SW_Push","SW_Tactile_SPST_Angled_PTS645Vx58-2LFS",116.316000,-76.069500,0.000000,top
"SW5","SK-3245S-L3-B","SW-SMD_SK-3245S-L3-B",77.073000,-77.337000,0.000000,top
"U1","TF-123-ARP9H17","TF-SMD_TF-123-ARP9H15",64.155000,-105.828000,0.000000,top
"U2","ESP32-WROOM-32D DEV BOARD","ESP32-C3-DevKitC-02",62.459200,-109.700000,90.000000,top
